index,bidder,value_wei,tx_hash,sent_at_ms,mined_at_ms,latency_ms,block,gas_used,effective_gas_price,cost_wei,status
0,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,1000000000000000,c1bef44f467c11157260009334d9567a185a50f4224cda514b2d0bf4c08253ed,1778025909901.5867,1778025912064.3665,2162.77978515625,55024376,79487,3,238461,success
1,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,1200000000000000,ce436270a4a0a5db54b22d5ed38625c0da8b46833d00b4661076fa229307c147,1778025912543.1907,1778025915237.3596,2694.1689453125,55024379,67846,3,203538,success
2,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,1300000000000000,458a577f230cee8e7cfb09504010d6188233b967b406d2efb0a68cf6bdb46c97,1778025915663.4438,1778025917520.9763,1857.532470703125,55024380,67846,3,203538,success
3,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,52d025646a99385e8b85640e1c38bd59b13db94e1c516ae8d38882324f0e774f,1778025917958.925,1778025919613.5542,1654.629150390625,55024382,71066,3,213198,success
4,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,ad2309c8f840ac3315f105e75925e72e24f3aabc94a7acf302f34c8c78a3f84d,1778025920084.8804,1778025922602.5674,2517.68701171875,55024385,71066,3,213198,success
5,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,ea643c23546f93a04487be9b76e9db47d8b25f7a4fb7c4f418c89fc4ca5bf774,1778025923077.5652,1778025925787.6443,2710.0791015625,55024388,71066,3,213198,success
6,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,f6f57d38a2fc562fdb93e5f4d3519d604f17b7bca6aad8918714af8631d291e3,1778025926316.3787,1778025928725.2107,2408.83203125,55024391,71066,3,213198,success
7,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,c8681a732f01f21546ce41d5ea0dbf40de5c5be4f5c53341263b674ab1c388ba,1778025929194.8496,1778025931071.0732,1876.2236328125,55024393,71066,3,213198,success
8,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,61ecdd6d251000fe44105da60736d78db650f260a9a633d05d23405693f81b45,1778025931527.0896,1778025933983.4856,2456.39599609375,55024396,71066,3,213198,success
9,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,7282ebc366dbf872613e88d50399458145548cdb3438c63133cf0281f3bf3400,1778025934460.5164,1778025937260.4917,2799.975341796875,55024399,71066,3,213198,success
10,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,bfeb64213f0872b40bafca2e7f98597f52ebbf4354b8beff238f013b7506ee38,1778025937778.3162,1778025940443.695,2665.37890625,55024401,71066,3,213198,success
11,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,ddd3264311307f1714e49076a2b04dcb4e38cacba70ef62e19ae61394ac5de8a,1778025940876.6714,1778025942813.6528,1936.9814453125,55024403,71066,3,213198,success
12,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,4fe1b5eb70182284d0224bd23e75ab6d85f75fc005ca5c9bbb47cbdb1b1a16dc,1778025943273.0776,1778025945434.308,2161.23046875,55024405,71066,3,213198,success
13,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,891b24c5129579a9c235ddd212ed6676cfbf9e80ed0883616dd271f8b127c77b,1778025945931.1868,1778025948095.1438,2163.95703125,55024406,71066,3,213198,success
14,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,99266e83bc37b5f7e6f3c2cea558df742e05163ae59e6e3dd2a0bfdb1ed1521c,1778025948675.047,1778025951395.62,2720.572998046875,55024409,71066,3,213198,success
15,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,4381a0a76c79c6a36dac3967d35edb24ac5a5f4e4ac5c5abefe0e6284511628c,1778025951857.9429,1778025954417.8772,2559.934326171875,55024411,71066,3,213198,success
16,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,05497c5084a2604b593219358cd82729a95c2a686049d60cf0cbb2067216f3c2,1778025954876.1228,1778025956725.5767,1849.453857421875,55024412,71066,3,213198,success
17,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,af9c5f7a1afd75a09a87b07c15836df8ed711c4a12681ca57d05d5661cfc6087,1778025957200.473,1778025959288.2913,2087.818359375,55024413,71066,3,213198,success
18,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,ce56a74120a87e4e8c39f86501a576a5807a7f79a5962edf806925eba6b5a7bc,1778025959750.518,1778025962075.4917,2324.9736328125,55024415,71066,3,213198,success
19,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,919ea1d23a7c8ff1168372e2fc6623a71ef5283e9fb31cadd948516c8b750f6b,1778025962924.0469,1778025965579.1821,2655.13525390625,55024418,71066,3,213198,success
20,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,7d945052b04726e6097b0a12e1b4587b7a2ea33b61787161c87c176683fe62dd,1778025966036.779,1778025968655.9475,2619.16845703125,55024421,71066,3,213198,success
21,0xCEF7d5fE566eaae415d5bCa059e4483EBd94C274,400000000000000,cbfe39a9217bf1d6e47b4758c6d478c38b1ab24281e35ccc5f39ecc850f0dccd,1778025969134.768,1778025971271.5044,2136.736328125,55024423,71066,3,213198,success
22,0x9D286c84F7151B597F7823CDe42A9A5fbB7a4a82,400000000000000,0ca227d81bd85511af14510490f4e2dcdc3662416159de41501620f9cc46d1e9,1778025971744.1125,1778025973880.752,2136.639404296875,55024425,71066,3,213198,success
23,0x84D66151ccEa1C8170394a5e3Af482cf43Ab7d6A,400000000000000,e4056c2106b54d7d64d55ecae772a07160573b3237528a90a187f01e7d2d053f,1778025974346.3496,1778025976741.7102,2395.360595703125,55024427,71066,3,213198,success
