index,bidder,value_wei,tx_hash,sent_at_ms,mined_at_ms,latency_ms,block,gas_used,effective_gas_price,cost_wei,status
0,0x2E11a7D3716304699684ae07D7Fc210db7e53932,1000000000000000,e3b8c4e8abb7cb0a897ca0d77dd1dbe87f8adc616807fac1d903d8f6b2509aa3,1778025949348.1375,1778025960374.9397,11026.80224609375,10797938,76687,1000020,76688533740,success
1,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,1200000000000000,6ddf068d7ba197dbbf3c5973e781768eeca49f52c6e83d8e404a07840bfc3161,1778025960476.2222,1778025972438.4717,11962.24951171875,10797939,65046,1000020,65047300920,success
2,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,1300000000000000,1e484791efde6f6ef643e8289a2b90f99cd83939d23936b2a03c58b0f344981a,1778025972615.715,1778025984483.3608,11867.645751953125,10797940,65046,1000020,65047300920,success
3,0x2E11a7D3716304699684ae07D7Fc210db7e53932,400000000000000,dbfe429ace7492d45bb6d5f794d8e9803030a16a8727094df211a22ad59808ab,1778025984648.6135,1778025998109.0762,13460.462646484375,10797941,63466,1000020,63467269320,success
4,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,25f71896f78abc2ed9992b4b700eed9bcf24d86d5cc01dabc42562b866d36690,1778025998262.3794,1778026008707.591,10445.211669921875,10797942,63466,1000020,63467269320,success
5,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,400000000000000,2417fd0bad9281fa6ff208c29cb311f47d1fe53076336c01b661d6f07a0891e2,1778026008901.9465,1778026020341.215,11439.2685546875,10797943,63466,1000020,63467269320,success
6,0x2E11a7D3716304699684ae07D7Fc210db7e53932,400000000000000,b11b24f0858b88423a0a943ae5956fbac3923503f504f7e92406e166abde5ce8,1778026020639.9229,1778026033815.404,13175.481201171875,10797944,63466,1000020,63467269320,success
7,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,68f17de48c1fffc7fb3e970d9196536068ac03501c6084e6586cb1c432223495,1778026033962.1206,1778026044393.9006,10431.780029296875,10797945,63466,1000020,63467269320,success
8,0x7BDc3D756F3B374B4f65859Ff482904bC92620c8,400000000000000,bc2878c03e71ccc1c16afb27b83075dae6d847ba672d341bb82981e27a3ccb2e,1778026044552.8638,1778026056859.7197,12306.85595703125,10797946,63466,1000020,63467269320,success
9,0x2E11a7D3716304699684ae07D7Fc210db7e53932,400000000000000,eb2fa6b9e2f3a52cdcc8b077ce0942c101f29528a2ad3c7fb823634d8c104910,1778026056983.7092,1778026080593.8396,23610.13037109375,10797948,63466,1000020,63467269320,success
10,0xDD79B118bC2Ad0837dF6248a5B368DC377FfBEd0,400000000000000,3cc75970c0978ced6653c1ee1f2ddf11af3d176862a8488214bce163d5060eaa,1778026080701.5188,1778026092337.1091,11635.59033203125,10797949,63466,1000021,63467332786,success
