index,bidder,value_wei,tx_hash,sent_at_ms,mined_at_ms,latency_ms,block,gas_used,effective_gas_price,cost_wei,status
0,0xdb1781810F8a53c5Ec34BcaC295f8921eD8956e9,1000000000000000,7cede465004bdf138152ad5f2b40d0e38b91c39058f1d1aa8c8b8b811ec92beb,1778103338205.2817,1778103338758.3784,553.0966796875,30117215,200000,102000000000,20400000000000000,success
1,0x841e98Fb374AdBF0e03c772a8A5DCb8719984D77,1200000000000000,05c282e26466e75802f461045227bdca53d2e87618852d743d33eafd23c4e425,1778103338861.1323,1778103339143.6362,282.50390625,30117216,200000,102000000000,20400000000000000,success
2,0x8611D0c2522d94c4B08EBa4da2D573db2Bc3c811,1300000000000000,72dd301087fbede817c42a2049050c53d5277ed5c75d943f69ea327464b3d133,1778103339269.14,1778103339571.111,301.97119140625,30117217,200000,102000000000,20400000000000000,success
3,0xdb1781810F8a53c5Ec34BcaC295f8921eD8956e9,400000000000000,9116b87bdcb2e79fec1ecdc074fc2eefee60afd2c94a0cf33010956eabdfb153,1778103339675.0374,1778103340094.9202,419.8828125,30117218,200000,102000000000,20400000000000000,success
4,0x841e98Fb374AdBF0e03c772a8A5DCb8719984D77,400000000000000,1f3af1c259201f4f0568bf458681566814cf0754c6a64e264ae4b6ddee570b38,1778103340191.6172,1778103340738.0256,546.408447265625,30117220,200000,102000000000,20400000000000000,success
5,0x8611D0c2522d94c4B08EBa4da2D573db2Bc3c811,400000000000000,0719de08e399e1e4e8e7d7970e91ada77c3a6c9cfa110f4585906e8991e73ce8,1778103340838.2595,1778103341125.4727,287.213134765625,30117221,200000,102000000000,20400000000000000,success
6,0xdb1781810F8a53c5Ec34BcaC295f8921eD8956e9,400000000000000,0697d80f38c92b219bf2c8e0acaaedbf48f2f33e80380dab6f1c7014ec53bbd8,1778103341230.1423,1778103341526.4844,296.342041015625,30117222,200000,102000000000,20400000000000000,success
7,0x841e98Fb374AdBF0e03c772a8A5DCb8719984D77,400000000000000,dd50863517ea7ac3769643df522435217162d91f1a1f36c08993b5becdcdee17,1778103341630.782,1778103342833.8474,1203.0654296875,30117223,200000,102000000000,20400000000000000,success
8,0x8611D0c2522d94c4B08EBa4da2D573db2Bc3c811,400000000000000,f638ad1a74f0d841b72a867f748898ffd31750856d66acddf749e53434c1ffab,1778103342943.3079,1778103343374.722,431.4140625,30117225,200000,102000000000,20400000000000000,success
9,0xdb1781810F8a53c5Ec34BcaC295f8921eD8956e9,400000000000000,834c42854f265765f67efd84b56262b478ceb40a1a4993f3c4da280b22302676,1778103343490.5342,1778103344177.914,687.3798828125,30117227,200000,102000000000,20400000000000000,success
10,0x841e98Fb374AdBF0e03c772a8A5DCb8719984D77,400000000000000,3c326245f053691960d4c453f34757762b7fb23d2692dc660a389116ce0f6922,1778103344284.4888,1778103344565.3652,280.87646484375,30117228,200000,102000000000,20400000000000000,success
11,0x8611D0c2522d94c4B08EBa4da2D573db2Bc3c811,400000000000000,45ed9b071ba5231e9dda4233f270de20abc40b9bd8f6c01d1581dab88b406a19,1778103344698.7263,1778103344851.872,153.145751953125,30117229,200000,102000000000,20400000000000000,success
12,0xdb1781810F8a53c5Ec34BcaC295f8921eD8956e9,400000000000000,f20ef17f7044d4deb6aaef9f42a4ea6547a58694e7468c0ef9ae7f42123799ea,1778103344974.4136,1778103345383.7168,409.30322265625,30117230,200000,102000000000,20400000000000000,success
13,0x841e98Fb374AdBF0e03c772a8A5DCb8719984D77,400000000000000,eff4ab9ad164d9314efe5a8002672c75abcbb2ee554445ef765a61b03262a59d,1778103345489.868,1778103345794.519,304.651123046875,30117231,200000,102000000000,20400000000000000,success
14,0x8611D0c2522d94c4B08EBa4da2D573db2Bc3c811,400000000000000,13b29d952f0558149d8b66f5a0d68f933c36aa050b3be9e6857771b47b76e209,1778103345889.6602,1778103346172.4595,282.79931640625,30117232,200000,102000000000,20400000000000000,success
15,0xdb1781810F8a53c5Ec34BcaC295f8921eD8956e9,400000000000000,abbb0c816ba3a79d1891989097d6f7097dee4516188d47d56a058ee1496084da,1778103346275.81,1778103346555.6792,279.869140625,30117233,200000,102000000000,20400000000000000,success
16,0x841e98Fb374AdBF0e03c772a8A5DCb8719984D77,400000000000000,b015ec11ddc62dc441ff8a9ad75b506f63f2dfb2639716470fd1acfa60744d35,1778103346662.9495,1778103346959.4766,296.527099609375,30117234,200000,102000000000,20400000000000000,success
17,0x8611D0c2522d94c4B08EBa4da2D573db2Bc3c811,400000000000000,0a3fa94b59cbe9437208f47f796eabfe83dbfd77bf61d491e177d0fefdb30eb0,1778103347065.8857,1778103347335.5918,269.7060546875,30117235,200000,102000000000,20400000000000000,success
18,0xdb1781810F8a53c5Ec34BcaC295f8921eD8956e9,400000000000000,1d58905823e638d70c07c0b7f75faa1c95c530b61f210f2f0397a3d2eb8bd605,1778103347430.802,1778103347726.0693,295.267333984375,30117236,200000,102000000000,20400000000000000,success
19,0x841e98Fb374AdBF0e03c772a8A5DCb8719984D77,400000000000000,f94336034f8a964a6e04a97dfde6e102d3e66abfce06cc550f1b67aa8b6e06e5,1778103347860.8276,1778103348131.8062,270.978515625,30117237,200000,102000000000,20400000000000000,success
20,0x8611D0c2522d94c4B08EBa4da2D573db2Bc3c811,400000000000000,5e6ce13d9b22f7afaaadb83ffaf6e81667803ca8c1e5135ac2fcd582f2834c50,1778103348224.3167,1778103348511.9548,287.63818359375,30117238,200000,102000000000,20400000000000000,success
21,0xdb1781810F8a53c5Ec34BcaC295f8921eD8956e9,400000000000000,0a458071f6daa6202521fdf60ea098361e0415ea53eefcfc705171884da3073a,1778103348662.5981,1778103348959.8103,297.212158203125,30117239,200000,102000000000,20400000000000000,success
22,0x841e98Fb374AdBF0e03c772a8A5DCb8719984D77,400000000000000,b36fa8ab93f7a545ef15705e4edff2aa8153fad9437235eff1a4f363f343e867,1778103349057.6409,1778103349348.4922,290.851318359375,30117240,200000,102000000000,20400000000000000,success
23,0x8611D0c2522d94c4B08EBa4da2D573db2Bc3c811,400000000000000,282415976eb70b031fdf60ed3a7f9277347f0f8140b765d71f543d0edd65b086,1778103349461.3333,1778103349733.777,272.44384765625,30117241,200000,102000000000,20400000000000000,success
24,0xdb1781810F8a53c5Ec34BcaC295f8921eD8956e9,400000000000000,0c73b6cfbadf0dd4dd3c85458ce9a72e27520934a1731c5a6d583938a038fb5b,1778103349856.6326,1778103350282.6858,426.05322265625,30117242,200000,102000000000,20400000000000000,success
25,0x841e98Fb374AdBF0e03c772a8A5DCb8719984D77,400000000000000,1738163ad8beb1fce6931da6cb819fc5baa8abbffc7d7c405c0366ae94b0bbe9,1778103350347.2544,1778103350869.7544,522.5,30117244,200000,102000000000,20400000000000000,success
26,0x8611D0c2522d94c4B08EBa4da2D573db2Bc3c811,400000000000000,f12cb10c801f89142c17a721fbd9f6b711c485c5fa5f52c5354ca0f7629996ff,1778103351195.187,1778103351739.1306,543.943603515625,30117246,200000,102000000000,20400000000000000,success
27,0xdb1781810F8a53c5Ec34BcaC295f8921eD8956e9,400000000000000,9ef8914ff1f57a877617242706402d18d628a1c7676b236f9900851501b6b010,1778103351957.9915,1778103352508.453,550.46142578125,30117248,200000,102000000000,20400000000000000,success
28,0x841e98Fb374AdBF0e03c772a8A5DCb8719984D77,400000000000000,011068d377c35356946c283b3efa25698d417e144e6fb5322763bb7211bb72f6,1778103352565.41,1778103352988.6804,423.2705078125,30117249,200000,102000000000,20400000000000000,success
29,0x8611D0c2522d94c4B08EBa4da2D573db2Bc3c811,400000000000000,f0a5cea8beb2287aab735ee727992e8c305c50716afc477aaf658481769fb586,1778103353107.3162,1778103353275.316,167.999755859375,30117250,200000,102000000000,20400000000000000,success
30,0xdb1781810F8a53c5Ec34BcaC295f8921eD8956e9,400000000000000,fb10dcc7713df1d752ced34f2880f0ebd3dea32a4e5771886fe9cd0ed1dc24f6,1778103353413.7104,1778103353707.1248,293.414306640625,30117251,200000,102000000000,20400000000000000,success
31,0x841e98Fb374AdBF0e03c772a8A5DCb8719984D77,400000000000000,0121ec01c1b449c7fa2ed14a2ccac8e421bb94ed8e592fa90761c713b3ab8f59,1778103353771.3894,1778103354149.4595,378.070068359375,30117252,200000,102000000000,20400000000000000,success
32,0x8611D0c2522d94c4B08EBa4da2D573db2Bc3c811,400000000000000,1e0b6d8957f609271cc1c927d1f8665f275d1aa2083e9a8a4f993da947e0c304,1778103354228.9087,1778103354496.7842,267.87548828125,30117253,200000,102000000000,20400000000000000,success
